Respondent ID,Collector ID,"I consent voluntarily to be a participant in this study and understand that I can refuse to answer questions and I can withdraw from the study at any time, without having to give a reason. ",I understand that information I provide will be used for scientific reports and publications.,How many email accounts do exist under your operated infrastructure?,,What security email protocols do you use?,,,,,,,,,Does your email server validate the sender’s SPF record when it receives an email?
114194822890,423494149,Yes,Yes,,,,,,,,,,,,
114193633657,423494149,Yes,Yes,,,SPF,DKIM,DMARC,,MTA-STS,DANE,,,,Yes
114188555002,423494149,Yes,Yes,,,,,,,,,,,,
114187762849,423494149,Yes,Yes,,,,,,,,,,,,
114185834007,423494149,Yes,Yes,,,,,,,,,,,,
114185773778,423494149,Yes,Yes,,,,,,,,,,,,
114184398850,423494149,Yes,Yes,,,,,,,,,,,,
114184183580,423494149,Yes,Yes,,,,,,,,,,,,
114184161049,423494149,Yes,Yes,,,,,,,,,,,,
114184110114,423494149,Yes,Yes,,,,,,,,,,,,
114184065775,423494149,Yes,Yes,,,,,,,,,,,,
114183542082,423494149,Yes,Yes,100 ~ 500,,,,,,,,,,,
114183529884,423494149,Yes,Yes,,,,,,,,,,,,
114183468741,423494149,Yes,Yes,,,,,,,,,,,,
114183421063,423494149,Yes,Yes,,,,,,,,,,,,
114183324596,423494149,Yes,Yes,,,,,,,,,,,,
114183317135,423494149,Yes,Yes,,,,,,,,,,,,
114183266644,423494149,Yes,Yes,,,,,,,,,,,,
114183238035,423494149,Yes,Yes,,,,,,,,,,,,
114183234137,423494149,Yes,Yes,,,,,,,,,,,,
114183233546,423494149,Yes,Yes,,,,,,,,,,,,
114183233033,423494149,Yes,Yes,,,,,,,,,,,,
114183148426,423494149,Yes,Yes,,,,,,,,,,,,
114182796357,423494149,Yes,Yes,,,,,,,,,,,,
114182536538,423494149,Yes,Yes,,,,,,,,,,,,
114182440547,423494149,Yes,Yes,,,,,,,,,,,,
114182401454,423494149,Yes,Yes,,,,,,,,,,,,
114182389275,423494149,Yes,Yes,,,,,,,,,,,,
114182385105,423494149,Yes,Yes,,,,,,,,,,,,
114182380814,423494149,Yes,Yes,,,,,,,,,,,,
114182243103,423494149,Yes,Yes,,,,,,,,,,,,
